time,open,high,low,close,tickvol,vol,spread,macd_line,macd_signal,signal,action,position,Trade P/L,Brokerage Cost,Total profit,Executed price,Take Profit,Stop Loss
2022-01-03 01:00:00+00:00,1.35306,1.35334,1.3526,1.35264,211,0,0,0.0007735031642004397,0.0008772073839155496,0,hold,0,0,,0,,,
2022-01-03 01:15:00+00:00,1.35264,1.35278,1.35233,1.3524,139,0,2,0.0006561819598021046,0.0008453185111805142,0,hold,0,0,,0,,,
2022-01-03 01:30:00+00:00,1.35241,1.35245,1.35231,1.35231,90,0,0,0.0005364125718985147,0.0007777774098332991,0,hold,0,0,,0,,,
2022-01-03 01:45:00+00:00,1.35237,1.35237,1.35204,1.35217,103,0,1,0.00042774012289203966,0.0007067087887507641,0,hold,0,0,,0,,,
2022-01-03 02:00:00+00:00,1.35218,1.35251,1.35207,1.35215,125,0,0,0.0003302064500538826,0.0006231767401932063,0,hold,0,0,,0,,,
2022-01-03 02:15:00+00:00,1.35215,1.35243,1.35214,1.35233,110,0,0,0.0002601149699845706,0.0005385805965212378,0,hold,0,0,,0,,,
2022-01-03 02:30:00+00:00,1.35233,1.35248,1.35214,1.35244,133,0,0,0.00021531584459144604,0.00046921299722068514,0,hold,0,0,,0,,,
2022-01-03 02:45:00+00:00,1.35243,1.35243,1.35172,1.35172,211,0,0,0.00011858772960460229,0.0003928114150201776,0,hold,0,0,,0,,,
2022-01-03 03:00:00+00:00,1.35171,1.3524,1.35158,1.35234,232,0,0,8.985169295216977e-05,0.0003254754353621672,0,hold,0,0,,0,,,
2022-01-03 03:15:00+00:00,1.35235,1.35295,1.35221,1.35257,152,0,0,9.453398560888004e-05,0.00028645062343441325,0,hold,0,0,,0,,,
2022-01-03 03:30:00+00:00,1.35257,1.35257,1.35152,1.35193,296,0,0,4.537807826165974e-05,0.00024338390138157006,0,hold,0,0,,0,,,
2022-01-03 03:45:00+00:00,1.35191,1.35193,1.35151,1.35172,409,0,2,-1.743975664370012e-05,0.00018712430636816472,0,hold,0,0,,0,,,
2022-01-03 04:00:00+00:00,1.35173,1.35173,1.35067,1.35109,435,0,0,-9.920008890595966e-05,0.00014770327405913767,0,hold,0,0,,0,,,
2022-01-03 04:15:00+00:00,1.35108,1.35126,1.35103,1.35104,136,0,2,-0.0001763698494416932,8.534948139509378e-05,0,hold,0,0,,0,,,
2022-01-03 04:30:00+00:00,1.35103,1.35113,1.35057,1.35113,146,0,0,-0.0002366576770040929,1.1628889066347985e-05,0,hold,0,0,,0,,,
2022-01-03 04:45:00+00:00,1.35112,1.35122,1.35038,1.3504,142,0,3,-0.0003119267359428246,-2.6650558498160917e-05,0,hold,0,0,,0,,,
